epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0233,0.92456,1.37663,2.10803,0.96192,0,0.89149,0.57055,0.70509,0.47689,0.90108,0.57669,0.7106,0.53193,1.07371,1.47556,1.91723,0.96199,0,0.00065,0.00065,0.00065
2,28.0479,0.95038,1.25732,1.25347,0.94761,0,1,0.22623,0.65412,0.48176,1,0.22623,0.65191,0.49716,0.96905,1.94184,2.36956,0.9974,0,0.00125149,0.00125149,0.00125149
3,40.4234,0.98868,1.24611,1.12804,0.99113,0,0.89331,0.8589,0.91092,0.65907,0.88796,0.85276,0.91393,0.67843,0.97691,1.44677,1.03143,1.01014,0,0.00178698,0.00178698,0.00178698
4,53.1631,0.97303,1.27969,1.059,0.98014,0,0.85841,0.89264,0.91643,0.6593,0.86428,0.89861,0.92422,0.65869,0.95614,1.45961,1.03616,0.98669,0,0.001703,0.001703,0.001703
5,66.3288,0.92607,1.26318,0.99543,0.97975,0,0.88521,0.86503,0.93188,0.66812,0.88521,0.86503,0.93091,0.69969,0.90007,1.3381,1.07951,1.00156,0,0.001604,0.001604,0.001604
6,79.0068,0.91032,1.20058,0.94218,0.98982,0,0.91552,0.87117,0.93748,0.68978,0.91552,0.87117,0.939,0.7007,0.89619,1.36132,0.91789,0.99022,0,0.001505,0.001505,0.001505
7,91.2378,0.88277,1.13588,0.89303,0.96748,0,0.91488,0.86503,0.93861,0.68909,0.91488,0.86503,0.9409,0.70946,0.90882,1.28197,0.87163,0.99147,0,0.001406,0.001406,0.001406
8,104.329,0.86118,1.14642,0.84671,0.95225,0,0.91375,0.9099,0.9474,0.70822,0.92925,0.88635,0.93582,0.70569,0.86928,1.33596,0.81295,0.98698,0,0.001307,0.001307,0.001307
9,117.334,0.87834,1.13898,0.85359,0.96828,0,0.88919,0.93534,0.95134,0.71901,0.95299,0.87067,0.94749,0.70846,0.8469,1.26958,0.75471,0.97867,0,0.001208,0.001208,0.001208
10,129.763,0.84489,1.12846,0.78205,0.94879,0,0.94071,0.87606,0.9455,0.69916,0.93351,0.86503,0.93427,0.69806,0.91326,1.35414,0.78054,0.99737,0,0.001109,0.001109,0.001109
11,142.685,0.82365,1.09315,0.92099,0.9416,0,0.92186,0.86855,0.94098,0.72634,0.93525,0.87117,0.94565,0.72006,0.83412,1.27032,0.84416,0.97161,0,0.00101,0.00101,0.00101
12,154.991,0.79112,1.0538,0.83684,0.93586,0,0.93088,0.90889,0.95011,0.7168,0.93498,0.90798,0.95013,0.72337,0.85321,1.22649,0.77797,0.97592,0,0.000911,0.000911,0.000911
13,167.005,0.77884,1.04539,0.78853,0.9458,0,0.90757,0.9036,0.95407,0.73158,0.90955,0.90184,0.95484,0.72509,0.81345,1.21793,0.72181,0.97393,0,0.000812,0.000812,0.000812
14,178.995,0.76091,1.04303,0.77381,0.92575,0,0.90115,0.89571,0.95408,0.73181,0.9239,0.89571,0.95646,0.72611,0.81891,1.20448,0.71556,0.96709,0,0.000713,0.000713,0.000713
15,191.172,0.759,1.01421,0.7317,0.92355,0,0.92837,0.87462,0.95397,0.73108,0.92837,0.87462,0.95397,0.71649,0.81265,1.19331,0.67974,0.97151,0,0.000614,0.000614,0.000614
16,203.22,0.7488,1.00223,0.71228,0.93148,0,0.90597,0.89571,0.95298,0.73046,0.90597,0.89571,0.95305,0.7252,0.79785,1.16872,0.66598,0.9634,0,0.000515,0.000515,0.000515
17,215.437,0.73495,0.96043,0.70023,0.91441,0,0.91434,0.89571,0.95405,0.72689,0.91434,0.89571,0.95405,0.72677,0.79882,1.19159,0.66612,0.96453,0,0.000416,0.000416,0.000416
18,227.61,0.73552,0.95649,0.69501,0.90469,0,0.90781,0.90184,0.95211,0.72304,0.90163,0.89571,0.95049,0.73097,0.79164,1.19234,0.65065,0.96176,0,0.000317,0.000317,0.000317
19,239.415,0.71765,0.93887,0.6708,0.91442,0,0.9215,0.90184,0.95188,0.72644,0.91523,0.89571,0.95153,0.73205,0.77758,1.16707,0.62929,0.95595,0,0.000218,0.000218,0.000218
20,251.684,0.69016,0.92928,0.64876,0.89342,0,0.90943,0.89571,0.9524,0.72983,0.90943,0.89571,0.95274,0.72829,0.77428,1.1665,0.62605,0.9541,0,0.000119,0.000119,0.000119
